year,gender,position_of_author,count
2000,F,0,362
2000,F,1,297
2000,F,2,170
2000,F,3,66
2000,F,4,33
2000,F,5,14
2000,F,6,11
2000,F,7,4
2000,F,8,2
2000,F,9,3
2000,F,10,3
2000,F,11,1
2000,M,0,1621
2000,M,1,1331
2000,M,2,773
2000,M,3,363
2000,M,4,158
2000,M,5,74
2000,M,6,34
2000,M,7,15
2000,M,8,12
2000,M,9,3
2000,M,10,2
2000,M,11,1
2000,M,12,1
2000,M,13,1
2001,F,0,454
2001,F,1,338
2001,F,2,180
2001,F,3,84
2001,F,4,27
2001,F,5,16
2001,F,6,14
2001,F,7,2
2001,F,8,4
2001,F,9,5
2001,F,10,2
2001,F,11,1
2001,F,12,1
2001,F,13,1
2001,F,14,1
2001,F,17,1
2001,M,0,1795
2001,M,1,1534
2001,M,2,883
2001,M,3,380
2001,M,4,176
2001,M,5,77
2001,M,6,29
2001,M,7,19
2001,M,8,8
2001,M,9,4
2001,M,10,3
2001,M,11,3
2001,M,12,2
2001,M,13,1
2001,M,14,1
2001,M,15,1
2001,M,16,1
2002,F,0,378
2002,F,1,296
2002,F,2,201
2002,F,3,96
2002,F,4,50
2002,F,5,28
2002,F,6,10
2002,F,7,9
2002,F,8,3
2002,F,9,2
2002,M,0,1573
2002,M,1,1366
2002,M,2,815
2002,M,3,416
2002,M,4,199
2002,M,5,85
2002,M,6,39
2002,M,7,21
2002,M,8,13
2002,M,9,4
2002,M,10,3
2002,M,11,2
2002,M,12,1
2002,M,13,1
2002,M,14,1
2002,M,21,1
2002,M,25,1
2003,F,0,576
2003,F,1,461
2003,F,2,241
2003,F,3,126
2003,F,4,65
2003,F,5,29
2003,F,6,13
2003,F,7,5
2003,F,8,6
2003,F,9,2
2003,F,10,2
2003,F,12,1
2003,F,13,1
2003,M,0,2225
2003,M,1,1984
2003,M,2,1219
2003,M,3,537
2003,M,4,222
2003,M,5,96
2003,M,6,56
2003,M,7,31
2003,M,8,12
2003,M,9,6
2003,M,10,3
2003,M,11,2
2003,M,15,1
2004,F,0,555
2004,F,1,453
2004,F,2,294
2004,F,3,134
2004,F,4,66
2004,F,5,35
2004,F,6,7
2004,F,7,3
2004,F,8,5
2004,F,9,2
2004,F,10,2
2004,F,11,1
2004,M,0,2219
2004,M,1,1966
2004,M,2,1237
2004,M,3,633
2004,M,4,250
2004,M,5,109
2004,M,6,53
2004,M,7,32
2004,M,8,17
2004,M,9,10
2004,M,10,5
2004,M,11,3
2004,M,12,2
2004,M,13,1
2004,M,14,1
2004,M,15,1
2004,M,16,1
2004,M,17,1
2005,F,0,809
2005,F,1,633
2005,F,2,441
2005,F,3,214
2005,F,4,93
2005,F,5,27
2005,F,6,25
2005,F,7,11
2005,F,8,6
2005,F,9,8
2005,F,10,4
2005,F,11,2
2005,F,12,1
2005,F,13,1
2005,F,16,1
2005,M,0,3119
2005,M,1,2850
2005,M,2,1707
2005,M,3,849
2005,M,4,351
2005,M,5,186
2005,M,6,94
2005,M,7,43
2005,M,8,28
2005,M,9,15
2005,M,10,10
2005,M,11,8
2005,M,12,6
2005,M,13,5
2005,M,14,3
2005,M,15,3
2005,M,16,1
2005,M,17,2
2005,M,18,2
2005,M,19,2
2005,M,20,1
2005,M,21,1
2006,F,0,847
2006,F,1,671
2006,F,2,438
2006,F,3,227
2006,F,4,102
2006,F,5,50
2006,F,6,27
2006,F,7,8
2006,F,8,5
2006,F,9,1
2006,F,10,2
2006,F,11,1
2006,F,14,1
2006,M,0,2954
2006,M,1,2707
2006,M,2,1725
2006,M,3,885
2006,M,4,395
2006,M,5,173
2006,M,6,81
2006,M,7,42
2006,M,8,18
2006,M,9,10
2006,M,10,3
2006,M,12,2
2006,M,13,2
2006,M,15,1
2006,M,16,1
2006,M,17,1
2006,M,18,1
2007,F,0,969
2007,F,1,819
2007,F,2,535
2007,F,3,250
2007,F,4,110
2007,F,5,56
2007,F,6,30
2007,F,7,11
2007,F,8,4
2007,F,10,1
2007,F,12,1
2007,M,0,3657
2007,M,1,3359
2007,M,2,2243
2007,M,3,1118
2007,M,4,461
2007,M,5,202
2007,M,6,83
2007,M,7,35
2007,M,8,17
2007,M,9,7
2007,M,10,4
2007,M,11,3
2007,M,12,1
2007,M,13,2
2007,M,14,1
2008,F,0,998
2008,F,1,786
2008,F,2,482
2008,F,3,295
2008,F,4,137
2008,F,5,64
2008,F,6,29
2008,F,7,9
2008,F,8,7
2008,F,9,4
2008,F,10,2
2008,F,12,2
2008,F,15,1
2008,M,0,3388
2008,M,1,3151
2008,M,2,2205
2008,M,3,1123
2008,M,4,516
2008,M,5,214
2008,M,6,90
2008,M,7,52
2008,M,8,21
2008,M,9,11
2008,M,10,8
2008,M,11,6
2008,M,12,1
2008,M,13,2
2008,M,14,1
2009,F,0,1041
2009,F,1,873
2009,F,2,573
2009,F,3,321
2009,F,4,165
2009,F,5,78
2009,F,6,33
2009,F,7,22
2009,F,8,8
2009,F,9,5
2009,F,10,1
2009,F,11,1
2009,F,13,1
2009,F,14,1
2009,M,0,3521
2009,M,1,3329
2009,M,2,2373
2009,M,3,1251
2009,M,4,555
2009,M,5,254
2009,M,6,119
2009,M,7,57
2009,M,8,27
2009,M,9,18
2009,M,10,13
2009,M,11,7
2009,M,12,6
2009,M,13,4
2009,M,14,2
2009,M,15,1
2010,F,0,1052
2010,F,1,942
2010,F,2,617
2010,F,3,375
2010,F,4,187
2010,F,5,89
2010,F,6,32
2010,F,7,16
2010,F,8,8
2010,F,9,7
2010,F,10,3
2010,F,11,3
2010,F,12,1
2010,F,13,2
2010,F,14,1
2010,M,0,3581
2010,M,1,3267
2010,M,2,2332
2010,M,3,1303
2010,M,4,597
2010,M,5,291
2010,M,6,137
2010,M,7,70
2010,M,8,34
2010,M,9,15
2010,M,10,12
2010,M,11,8
2010,M,12,7
2010,M,13,6
2010,M,14,4
2010,M,15,3
2011,F,0,1346
2011,F,1,1130
2011,F,2,827
2011,F,3,451
2011,F,4,216
2011,F,5,98
2011,F,6,48
2011,F,7,26
2011,F,8,7
2011,F,9,4
2011,F,10,4
2011,F,11,2
2011,F,12,2
2011,F,13,1
2011,F,17,1
2011,F,18,1
2011,F,20,2
2011,F,21,1
2011,F,22,1
2011,F,23,1
2011,F,25,1
2011,M,0,4399
2011,M,1,4198
2011,M,2,2982
2011,M,3,1705
2011,M,4,809
2011,M,5,363
2011,M,6,145
2011,M,7,67
2011,M,8,43
2011,M,9,27
2011,M,10,17
2011,M,11,13
2011,M,12,9
2011,M,13,7
2011,M,14,4
2011,M,15,2
2011,M,16,2
2011,M,17,1
2011,M,18,1
2011,M,19,2
2011,M,22,1
2011,M,23,1
2011,M,24,1
2011,M,26,1
2012,F,0,1313
2012,F,1,1128
2012,F,2,820
2012,F,3,491
2012,F,4,245
2012,F,5,117
2012,F,6,58
2012,F,7,25
2012,F,8,13
2012,F,9,9
2012,F,10,2
2012,F,11,5
2012,F,12,1
2012,F,13,1
2012,F,20,1
2012,F,21,1
2012,F,22,1
2012,F,23,1
2012,F,24,2
2012,F,26,1
2012,F,28,1
2012,M,0,4045
2012,M,1,3800
2012,M,2,2861
2012,M,3,1703
2012,M,4,836
2012,M,5,388
2012,M,6,174
2012,M,7,97
2012,M,8,41
2012,M,9,28
2012,M,10,21
2012,M,11,8
2012,M,12,8
2012,M,13,4
2012,M,14,6
2012,M,15,4
2012,M,16,4
2012,M,17,3
2012,M,18,3
2012,M,19,3
2012,M,20,2
2012,M,21,2
2012,M,22,2
2012,M,23,2
2012,M,25,2
2012,M,27,1
2012,M,29,1
2013,F,0,1737
2013,F,1,1488
2013,F,2,1072
2013,F,3,671
2013,F,4,338
2013,F,5,168
2013,F,6,70
2013,F,7,39
2013,F,8,16
2013,F,9,12
2013,F,10,5
2013,F,11,5
2013,F,12,3
2013,F,13,2
2013,F,14,3
2013,F,15,1
2013,F,16,1
2013,F,17,1
2013,F,19,1
2013,F,20,3
2013,F,22,1
2013,F,28,1
2013,F,31,1
2013,F,32,1
2013,M,0,5292
2013,M,1,4962
2013,M,2,3737
2013,M,3,2190
2013,M,4,1163
2013,M,5,517
2013,M,6,202
2013,M,7,105
2013,M,8,52
2013,M,9,30
2013,M,10,19
2013,M,11,9
2013,M,12,9
2013,M,13,7
2013,M,14,5
2013,M,15,4
2013,M,16,2
2013,M,17,3
2013,M,18,3
2013,M,19,3
2013,M,20,1
2013,M,21,3
2013,M,22,1
2013,M,23,1
2013,M,24,2
2013,M,25,2
2013,M,26,2
2013,M,27,1
2013,M,29,1
2013,M,30,1
2013,M,33,1
2014,F,0,1501
2014,F,1,1306
2014,F,2,1040
2014,F,3,630
2014,F,4,326
2014,F,5,172
2014,F,6,64
2014,F,7,32
2014,F,8,12
2014,F,9,7
2014,F,10,6
2014,F,11,10
2014,F,12,3
2014,F,13,4
2014,F,14,2
2014,F,15,1
2014,F,17,2
2014,F,18,1
2014,F,19,1
2014,F,23,1
2014,F,25,1
2014,M,0,4580
2014,M,1,4325
2014,M,2,3334
2014,M,3,2030
2014,M,4,1079
2014,M,5,506
2014,M,6,249
2014,M,7,131
2014,M,8,71
2014,M,9,40
2014,M,10,25
2014,M,11,11
2014,M,12,10
2014,M,13,4
2014,M,14,3
2014,M,15,2
2014,M,16,4
2014,M,17,2
2014,M,18,3
2014,M,19,2
2014,M,20,3
2014,M,21,3
2014,M,22,3
2014,M,23,2
2014,M,24,2
2014,M,26,2
2014,M,27,2
2014,M,28,1
2014,M,29,1
2015,F,0,1843
2015,F,1,1535
2015,F,2,1245
2015,F,3,752
2015,F,4,399
2015,F,5,203
2015,F,6,100
2015,F,7,36
2015,F,8,19
2015,F,9,9
2015,F,10,9
2015,F,11,5
2015,F,12,3
2015,F,13,6
